activity|metric_name|metric_value
Closing|n-mide|0.223443834816
Closing|n-mide_num_rejected|0
Closing|p_miss@0.01rfa|0.992424242424
Closing|p_miss@0.03rfa|0.984848484848
Closing|p_miss@0.15rfa|0.984848484848
Closing|p_miss@0.1rfa|0.984848484848
Closing|p_miss@0.2rfa|0.984848484848
Closing|p_miss@1rfa|0.893939393939
Closing_Trunk|n-mide|0.153242850127
Closing_Trunk|n-mide_num_rejected|0
Closing_Trunk|p_miss@0.01rfa|1.0
Closing_Trunk|p_miss@0.03rfa|1.0
Closing_Trunk|p_miss@0.15rfa|0.904761904762
Closing_Trunk|p_miss@0.1rfa|0.904761904762
Closing_Trunk|p_miss@0.2rfa|0.904761904762
Closing_Trunk|p_miss@1rfa|0.761904761905
Entering|n-mide|0.508075833973
Entering|n-mide_num_rejected|0
Entering|p_miss@0.01rfa|1.0
Entering|p_miss@0.03rfa|1.0
Entering|p_miss@0.15rfa|1.0
Entering|p_miss@0.1rfa|1.0
Entering|p_miss@0.2rfa|0.985915492958
Entering|p_miss@1rfa|0.859154929577
Exiting|n-mide|0.450090501713
Exiting|n-mide_num_rejected|0
Exiting|p_miss@0.01rfa|1.0
Exiting|p_miss@0.03rfa|0.984615384615
Exiting|p_miss@0.15rfa|0.953846153846
Exiting|p_miss@0.1rfa|0.969230769231
Exiting|p_miss@0.2rfa|0.953846153846
Exiting|p_miss@1rfa|0.907692307692
Loading|n-mide|0.579621015569
Loading|n-mide_num_rejected|0
Loading|p_miss@0.01rfa|1.0
Loading|p_miss@0.03rfa|1.0
Loading|p_miss@0.15rfa|0.891891891892
Loading|p_miss@0.1rfa|0.891891891892
Loading|p_miss@0.2rfa|0.837837837838
Loading|p_miss@1rfa|0.783783783784
Open_Trunk|n-mide|0.478164465555
Open_Trunk|n-mide_num_rejected|0
Open_Trunk|p_miss@0.01rfa|0.954545454545
Open_Trunk|p_miss@0.03rfa|0.954545454545
Open_Trunk|p_miss@0.15rfa|0.954545454545
Open_Trunk|p_miss@0.1rfa|0.954545454545
Open_Trunk|p_miss@0.2rfa|0.954545454545
Open_Trunk|p_miss@1rfa|0.909090909091
Opening|n-mide|0.361465853311
Opening|n-mide_num_rejected|0
Opening|p_miss@0.01rfa|1.0
Opening|p_miss@0.03rfa|1.0
Opening|p_miss@0.15rfa|1.0
Opening|p_miss@0.1rfa|1.0
Opening|p_miss@0.2rfa|0.992125984252
Opening|p_miss@1rfa|0.897637795276
Unloading|n-mide|0.590171727607
Unloading|n-mide_num_rejected|0
Unloading|p_miss@0.01rfa|0.96875
Unloading|p_miss@0.03rfa|0.9375
Unloading|p_miss@0.15rfa|0.9375
Unloading|p_miss@0.1rfa|0.9375
Unloading|p_miss@0.2rfa|0.9375
Unloading|p_miss@1rfa|0.90625
