activity|metric_name|metric_value
vehicle_turning_left|n-mide|None
vehicle_turning_left|n-mide_num_rejected|0
vehicle_turning_left|p_miss@0.01rfa|1.0
vehicle_turning_left|p_miss@0.03rfa|1.0
vehicle_turning_left|p_miss@0.15rfa|1.0
vehicle_turning_left|p_miss@0.1rfa|1.0
vehicle_turning_left|p_miss@0.2rfa|1.0
vehicle_turning_left|p_miss@1rfa|1.0
vehicle_turning_right|n-mide|None
vehicle_turning_right|n-mide_num_rejected|0
vehicle_turning_right|p_miss@0.01rfa|1.0
vehicle_turning_right|p_miss@0.03rfa|1.0
vehicle_turning_right|p_miss@0.15rfa|1.0
vehicle_turning_right|p_miss@0.1rfa|1.0
vehicle_turning_right|p_miss@0.2rfa|1.0
vehicle_turning_right|p_miss@1rfa|1.0
vehicle_u_turn|n-mide|None
vehicle_u_turn|n-mide_num_rejected|0
vehicle_u_turn|p_miss@0.01rfa|1.0
vehicle_u_turn|p_miss@0.03rfa|1.0
vehicle_u_turn|p_miss@0.15rfa|1.0
vehicle_u_turn|p_miss@0.1rfa|1.0
vehicle_u_turn|p_miss@0.2rfa|1.0
vehicle_u_turn|p_miss@1rfa|1.0
